Subject,Run,Task,Accuracy,Precision,Recall,F1
S001,3.0,S001 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S001,4.0,S001 Run 4: Imagined Left vs Imagined Right,1.0,1.0,1.0,1.0
S001,7.0,S001 Run 7: Real Left vs Real Right,1.0,1.0,1.0,1.0
S001,8.0,S001 Run 8: Imagined Left vs Imagined Right,1.0,1.0,1.0,1.0
S001,11.0,S001 Run 11: Real Left vs Real Right,1.0,1.0,1.0,1.0
S001,12.0,S001 Run 12: Imagined Left vs Imagined Right,1.0,1.0,1.0,1.0
S002,3.0,S002 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S002,4.0,S002 Run 4: Imagined Left vs Imagined Right,1.0,1.0,1.0,1.0
S002,7.0,S002 Run 7: Real Left vs Real Right,1.0,1.0,1.0,1.0
S002,8.0,S002 Run 8: Imagined Left vs Imagined Right,1.0,1.0,1.0,1.0
S002,11.0,S002 Run 11: Real Left vs Real Right,1.0,1.0,1.0,1.0
S002,12.0,S002 Run 12: Imagined Left vs Imagined Right,1.0,1.0,1.0,1.0
S003,3.0,S003 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S003,4.0,S003 Run 4: Imagined Left vs Imagined Right,1.0,1.0,1.0,1.0
S003,7.0,S003 Run 7: Real Left vs Real Right,1.0,1.0,1.0,1.0
S003,8.0,S003 Run 8: Imagined Left vs Imagined Right,1.0,1.0,1.0,1.0
S003,11.0,S003 Run 11: Real Left vs Real Right,1.0,1.0,1.0,1.0
S003,12.0,S003 Run 12: Imagined Left vs Imagined Right,1.0,1.0,1.0,1.0
S004,3.0,S004 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S004,4.0,S004 Run 4: Imagined Left vs Imagined Right,1.0,1.0,1.0,1.0
S004,7.0,S004 Run 7: Real Left vs Real Right,1.0,1.0,1.0,1.0
S004,8.0,S004 Run 8: Imagined Left vs Imagined Right,1.0,1.0,1.0,1.0
S004,11.0,S004 Run 11: Real Left vs Real Right,1.0,1.0,1.0,1.0
S004,12.0,S004 Run 12: Imagined Left vs Imagined Right,1.0,1.0,1.0,1.0
S005,3.0,S005 Run 3: Real Left vs Real Right,1.0,1.0,1.0,1.0
S005,4.0,S005 Run 4: Imagined Left vs Imagined Right,1.0,1.0,1.0,1.0
