Subject,Run,Task,Accuracy,Precision,Recall,F1
S001,3,S001 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S001,7,S001 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S001,11,S001 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S002,3,S002 Run 3: Real Left vs Real Right,0.8571,1.0,0.6667,0.8
S002,7,S002 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S002,11,S002 Run 11: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S003,3,S003 Run 3: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S003,7,S003 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S003,11,S003 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S004,3,S004 Run 3: Real Left vs Real Right,0.5714,0.3333,0.5,0.4
S004,7,S004 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S004,11,S004 Run 11: Real Left vs Real Right,0.8571,1.0,0.6667,0.8
S005,3,S005 Run 3: Real Left vs Real Right,0.7143,0.5,0.5,0.5
S005,7,S005 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S005,11,S005 Run 11: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S006,3,S006 Run 3: Real Left vs Real Right,0.7143,1.0,0.3333,0.5
S006,7,S006 Run 7: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S006,11,S006 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S007,3,S007 Run 3: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S007,7,S007 Run 7: Real Left vs Real Right,0.8571,1.0,0.6667,0.8
S007,11,S007 Run 11: Real Left vs Real Right,0.5714,0.5,0.3333,0.4
S008,3,S008 Run 3: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S008,7,S008 Run 7: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
S008,11,S008 Run 11: Real Left vs Real Right,1.0,1.0,1.0,1.0
S009,3,S009 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S009,7,S009 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S009,11,S009 Run 11: Real Left vs Real Right,0.7143,0.0,0.0,0.0
S010,3,S010 Run 3: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S010,7,S010 Run 7: Real Left vs Real Right,0.5714,0.0,0.0,0.0
S010,11,S010 Run 11: Real Left vs Real Right,0.4286,0.0,0.0,0.0
S011,3,S011 Run 3: Real Left vs Real Right,0.8571,1.0,0.5,0.6667
